work_id,name,zone,plan_start,plan_end,fact_percent,contractor,change_reason
W-01,Подготовка территории,Секция 1,2026-08-18,2026-08-21,100,СУ-7,
W-02,Разработка котлована,Секция 1,2026-08-24,2026-09-08,55,СУ-7,
W-03,Свайные работы,Секция 1,2026-09-09,2026-09-22,0,ГеоСтрой,задержка поставки свай
W-04,Устройство фундаментной плиты,Секция 1,2026-09-21,2026-10-02,0,СтройМонтаж,
W-05,Разработка котлована,Секция 2,2026-08-19,2026-08-26,100,СУ-7,
W-06,Щебёночная подготовка,Секция 2,2026-08-27,2026-08-27,100,СУ-7,
W-07,Армирование фундамента,Секция 2,2026-08-28,2026-09-03,100,СтройМонтаж,
W-08,Бетонирование фундамента,Секция 2,2026-09-04,2026-09-08,0,СтройМонтаж,
W-09,Гидроизоляция фундамента,Секция 2,2026-09-09,2026-09-15,0,СтройМонтаж,
W-10,Обратная засыпка,Секция 2,2026-09-16,2026-09-21,0,СУ-7,
W-11,Монолитный каркас 1 этаж,Секция 2,2026-09-22,2026-10-05,0,СтройМонтаж,
W-12,Монтаж башенного крана,Секция 1,2026-08-31,2026-09-02,100,КранСервис,
